n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5
0,10000,19,33,66,32,"[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[23:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')","[21:1]('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[18:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
1,11250,19,33,66,32,"[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[23:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')","[22:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[21:1]('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
2,12297,19,35,70,34,"[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[23:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')","[22:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
3,14103,24,47,94,47,"[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'RELEASE', 'CODE ERROR', 'MANUAL', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')","[23:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
4,18866,24,47,94,47,"[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'RELEASE', 'CODE ERROR', 'MANUAL', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
5,20656,22,44,88,43,"[34:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[24:1]('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
6,23934,23,46,92,45,"[34:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE OK', 'BILLED')","[25:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
7,33152,25,49,98,49,"[34:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[31:1]('NEW', 'NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'JOIN-PAT', 'JOIN-PAT', 'BILLED', 'BILLED')","[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE OK', 'BILLED')"
8,51737,24,49,98,49,"[42:1]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'CODE ERROR', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[34:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[31:1]('NEW', 'NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'JOIN-PAT', 'JOIN-PAT', 'BILLED', 'BILLED')","[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')","[27:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
9,56636,24,51,102,50,"[42:1]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'CODE ERROR', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[34:1]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'CODE ERROR', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[31:1]('NEW', 'NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'REJECT', 'REJECT', 'JOIN-PAT', 'JOIN-PAT', 'BILLED', 'BILLED')","[31:1]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CODE NOK', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'CODE NOK', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CHANGE END', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[27:1]('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'REOPEN', 'REOPEN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED', 'STORNO', 'STORNO', 'BILLED', 'BILLED')"
